stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.342748,1833,-158.034847,1833,http://hea.thebus.org/nextbus.asp?s=1833,,,RENTON RD + OPP PIPELINE ST,0,
21.337729,1830,-158.038659,1830,http://hea.thebus.org/nextbus.asp?s=1830,,,RENTON RD + OPP TENNEY ST,0,
21.338841,1831,-158.037775,1831,http://hea.thebus.org/nextbus.asp?s=1831,,,RENTON RD + OPP PARK ROW AVE,0,
21.346251,1836,-158.030055,1836,http://hea.thebus.org/nextbus.asp?s=1836,,,RENTON RD + AUWAHA ST,0,
21.34725,1837,-158.028133,1837,http://hea.thebus.org/nextbus.asp?s=1837,,,RENTON RD + FORT WEAVER RD,0,
21.344631,1834,-158.033228,1834,http://hea.thebus.org/nextbus.asp?s=1834,,,RENTON RD + OOHAO ST,0,
21.345573,1835,-158.031841,1835,http://hea.thebus.org/nextbus.asp?s=1835,,,RENTON RD + PAHIKA ST,0,
21.281894,3795,-157.768722,3795,http://hea.thebus.org/nextbus.asp?s=3795,,,LAUKAHI ST + OPP KUHILANI ST,0,
21.280914,3794,-157.766312,3794,http://hea.thebus.org/nextbus.asp?s=3794,,,LAUKAHI ST + IHILOA LP,0,
21.34201,1838,-158.022109,1838,http://hea.thebus.org/nextbus.asp?s=1838,,,KEAUNUI DR + OPP KAUKOLU ST,0,
21.283909,3796,-157.766572,3796,http://hea.thebus.org/nextbus.asp?s=3796,,,LAUKAHI ST + OPP KUMAKANI LP,0,
21.279296,3793,-157.76689,3793,http://hea.thebus.org/nextbus.asp?s=3793,,,LAUKAHI ST + OPP KAMOLE ST,0,
21.27794,3792,-157.771727,3792,http://hea.thebus.org/nextbus.asp?s=3792,,,LAUKAHI ST + ANALII ST,0,
21.34418,2154,-158.079673,2154,http://hea.thebus.org/nextbus.asp?s=2154,,,MAKAKILO DR + PALAILAI ST,0,
21.347808,2155,-158.08154,2155,http://hea.thebus.org/nextbus.asp?s=2155,,,MAKAKILO DR + OPP ANIPEAHI ST,0,
21.557282,2404,-157.855552,2404,http://hea.thebus.org/nextbus.asp?s=2404,,,KAMEHAMEHA HWY + KAAAWA PARK LN,0,
21.356175,2157,-158.085415,2157,http://hea.thebus.org/nextbus.asp?s=2157,,,PANANA ST + MAKAKILO DR,0,
21.34317,2150,-158.084911,2150,http://hea.thebus.org/nextbus.asp?s=2150,,,PALAILAI ST + UHIUALA ST,0,
21.342673,2151,-158.08308,2151,http://hea.thebus.org/nextbus.asp?s=2151,,,PALAILAI ST + KOKOLE ST,0,
21.343359,2152,-158.081737,2152,http://hea.thebus.org/nextbus.asp?s=2152,,,PALAILAI ST + AKAULA ST,0,
21.344387,2153,-158.08006,2153,http://hea.thebus.org/nextbus.asp?s=2153,,,PALAILAI ST + MAKAKILO DR,0,
21.336723,933,-157.956232,933,http://hea.thebus.org/nextbus.asp?s=933,,,HANGAR AVE + OPP E ST,0,
21.333947,932,-157.95913,932,http://hea.thebus.org/nextbus.asp?s=932,,,HANGAR AVE + OPP C ST,0,
21.333787,931,-157.960946,931,http://hea.thebus.org/nextbus.asp?s=931,,,B ST + VICKERS ST,0,
21.337492,930,-157.958186,930,http://hea.thebus.org/nextbus.asp?s=930,,,VICKERS AVE + ATTERBURY CIR (MAKAI),0,
21.341292,937,-157.943816,937,http://hea.thebus.org/nextbus.asp?s=937,,,HICKAM AFB MAIN GATE,0,
21.339784,936,-157.928911,936,http://hea.thebus.org/nextbus.asp?s=936,,,NIMITZ HWY + VALKENBURGH ST,0,
21.339084,935,-157.927051,935,http://hea.thebus.org/nextbus.asp?s=935,,,NIMITZ HWY + OPP ELLIOTT ST,0,
21.332092,934,-157.950648,934,http://hea.thebus.org/nextbus.asp?s=934,,,AMC TERMINAL,0,
21.352613,2829,-157.918202,2829,http://hea.thebus.org/nextbus.asp?s=2829,,,LIKINI ST + ALA AWAPUHI PL,0,
21.293991,3055,-157.843789,3055,http://hea.thebus.org/nextbus.asp?s=3055,,,KAPIOLANI BL + OPP KONA IKI ST,0,
21.40163,1955,-157.956066,1955,http://hea.thebus.org/nextbus.asp?s=1955,,,HOOMALU ST + 223,0,
21.400513,1954,-157.956813,1954,http://hea.thebus.org/nextbus.asp?s=1954,,,HOOKANIKE ST + HOOMALU ST,0,
21.404848,1957,-157.955104,1957,http://hea.thebus.org/nextbus.asp?s=1957,,,KOMO MAI DR + HOOHULU ST,0,
21.402927,1956,-157.954981,1956,http://hea.thebus.org/nextbus.asp?s=1956,,,HOOMALU ST + KOMO MAI DR,0,
21.397219,1951,-157.951794,1951,http://hea.thebus.org/nextbus.asp?s=1951,,,HOOKANIKE ST + KAAHUMANU ST,0,
21.398345,1950,-157.951047,1950,http://hea.thebus.org/nextbus.asp?s=1950,,,KAAHUMANU ST + HOOKANIKE ST,0,
21.399353,1953,-157.955226,1953,http://hea.thebus.org/nextbus.asp?s=1953,,,HOOKANIKE ST + HOOHIKI ST,0,
21.398312,1952,-157.953807,1952,http://hea.thebus.org/nextbus.asp?s=1952,,,HOOKANIKE ST + OPP KAMAHAO ST,0,
21.336889,1829,-158.039329,1829,http://hea.thebus.org/nextbus.asp?s=1829,,,RENTON RD + OPP ORRICK ST,0,
21.408083,1959,-157.958413,1959,http://hea.thebus.org/nextbus.asp?s=1959,,,KOMO MAI DR + HOOKUPA ST,0,
21.405815,1958,-157.956768,1958,http://hea.thebus.org/nextbus.asp?s=1958,,,KOMO MAI DR + HOOLAULEA ST,0,
21.335019,1828,-158.041235,1828,http://hea.thebus.org/nextbus.asp?s=1828,,,RENTON RD + OPP PAALUA ST,0,
21.308279,3249,-157.819488,3249,http://hea.thebus.org/nextbus.asp?s=3249,,,E MANOA RD + ARMSTRONG ST,0,
21.307815,3248,-157.820787,3248,http://hea.thebus.org/nextbus.asp?s=3248,,,E MANOA RD + BECKWITH ST,0,
21.303268,3243,-157.832029,3243,http://hea.thebus.org/nextbus.asp?s=3243,,,PUNAHOU ST + WILDER AVE,0,
21.302217,3242,-157.8329,3242,http://hea.thebus.org/nextbus.asp?s=3242,,,PUNAHOU ST + DOLE ST,0,
21.300657,3241,-157.83395,3241,http://hea.thebus.org/nextbus.asp?s=3241,,,PUNAHOU ST + BINGHAM ST,0,
21.299265,3240,-157.83488,3240,http://hea.thebus.org/nextbus.asp?s=3240,,,PUNAHOU ST + S BERETANIA ST,0,
21.307153,3247,-157.822465,3247,http://hea.thebus.org/nextbus.asp?s=3247,,,E MANOA RD + MOHALA WAY,0,
21.30622,3246,-157.824708,3246,http://hea.thebus.org/nextbus.asp?s=3246,,,MANOA RD + LANIHULI DR,0,
21.305435,3245,-157.827726,3245,http://hea.thebus.org/nextbus.asp?s=3245,,,MANOA RD + OPP ALIHILANI PL,0,
21.30483,3244,-157.83035,3244,http://hea.thebus.org/nextbus.asp?s=3244,,,PUNAHOU ST + OPP NEHOA ST,0,
21.333325,1825,-158.044852,1825,http://hea.thebus.org/nextbus.asp?s=1825,,,RENTON RD + HAAKEI ST,0,
21.316724,829,-157.850349,829,http://hea.thebus.org/nextbus.asp?s=829,,,LUSITANA ST + KUAKINI ST,0,
21.317621,828,-157.849267,828,http://hea.thebus.org/nextbus.asp?s=828,,,LUSITANA ST + OPP SAN ANTONIO AVE,0,
21.320536,825,-157.845697,825,http://hea.thebus.org/nextbus.asp?s=825,,,KANEALII AVE + STAR RD,0,
21.320766,824,-157.844263,824,http://hea.thebus.org/nextbus.asp?s=824,,,KANEALII AVE + OPP PAKOHANA ST,0,
21.319723,827,-157.847802,827,http://hea.thebus.org/nextbus.asp?s=827,,,KANEALII AVE + PAUOA RD,0,
21.320168,826,-157.847099,826,http://hea.thebus.org/nextbus.asp?s=826,,,KANEALII AVE + OPP KAIA ST,0,
21.293389,821,-157.842156,821,http://hea.thebus.org/nextbus.asp?s=821,,,KEEAUMOKU ST + KAPIOLANI BL,0,
21.295101,820,-157.841488,820,http://hea.thebus.org/nextbus.asp?s=820,,,KEEAUMOKU ST + OPP KANUNU ST,0,
21.321106,823,-157.842738,823,http://hea.thebus.org/nextbus.asp?s=823,,,KANEALII AVE + HUANU ST,0,
21.321556,822,-157.841424,822,http://hea.thebus.org/nextbus.asp?s=822,,,KANEALII AVE + KOALELE ST,0,
21.339037,1821,-158.037819,1821,http://hea.thebus.org/nextbus.asp?s=1821,,,RENTON RD + ALAIKI ST,0,
21.340031,1820,-158.037179,1820,http://hea.thebus.org/nextbus.asp?s=1820,,,RENTON RD + PARK ROW AVE,0,
21.414662,1483,-157.801917,1483,http://hea.thebus.org/nextbus.asp?s=1483,,,KEAAHALA RD + KANEOHE PLAYGROUND,0,
21.414923,1482,-157.801093,1482,http://hea.thebus.org/nextbus.asp?s=1482,,,KEAAHALA RD + KAMEHAMEHA HWY,0,
21.412548,1481,-157.799386,1481,http://hea.thebus.org/nextbus.asp?s=1481,,,KAMEHAMEHA HWY + WAIKALUA RD,0,
21.409475,1480,-157.798834,1480,http://hea.thebus.org/nextbus.asp?s=1480,,,PUA INIA ST + KAMEHAMEHA HWY,0,
21.409299,1487,-157.810443,1487,http://hea.thebus.org/nextbus.asp?s=1487,,,KEAAHALA RD + OPP POOKELA ST,0,
21.411359,1486,-157.80721,1486,http://hea.thebus.org/nextbus.asp?s=1486,,,KEAAHALA RD + KAMAU PL,0,
21.412876,1485,-157.804739,1485,http://hea.thebus.org/nextbus.asp?s=1485,,,KEAAHALA RD + PAAILA PL,0,
21.414187,1484,-157.80262,1484,http://hea.thebus.org/nextbus.asp?s=1484,,,KEAAHALA RD + PAHUWAI PL,0,
21.274289,3306,-157.801901,3306,http://hea.thebus.org/nextbus.asp?s=3306,,,KILAUEA AVE + POKOLE ST,0,
21.40921,1489,-157.810535,1489,http://hea.thebus.org/nextbus.asp?s=1489,,,KEAAHALA RD + POOKELA ST,0,
21.408664,1488,-157.811358,1488,http://hea.thebus.org/nextbus.asp?s=1488,,,KEAAHALA RD + WINDWARD COMMUNITY COL,0,
21.276915,3302,-157.806629,3302,http://hea.thebus.org/nextbus.asp?s=3302,,,9TH AVE + KILAUEA AVE,0,
21.278434,3301,-157.806034,3301,http://hea.thebus.org/nextbus.asp?s=3301,,,MAUNALOA AVE + 9TH AVE,0,
21.31108,797,-157.808216,797,http://hea.thebus.org/nextbus.asp?s=797,,,E MANOA RD + LOWREY AVE,0,
21.312232,796,-157.806631,796,http://hea.thebus.org/nextbus.asp?s=796,,,E MANOA RD + OPP LOI ST,0,
